Store ID,Uptime Last Hour (minutes),Downtime Last Hour (minutes),Uptime Last Day (hours),Downtime Last Day (hours),Uptime Last Week (hours),Downtime Last Week (hours)
1481966498820158979,0.0,60,1.1666666666666667,0.0,1.1666666666666667,166.83333333333334
579100056021594375,0.0,60,1.1666666666666667,0.0,1.1666666666666667,166.83333333333334
4573651495882519047,0.0,60,1.1666666666666667,0.0,1.1666666666666667,166.83333333333334
5125947543803222292,0.0,60,1.1666666666666667,0.0,1.1666666666666667,166.83333333333334
8737584666926498663,0.0,60,1.1666666666666667,0.0,1.1666666666666667,166.83333333333334
2629214850687686775,0.0,60,1.1666666666666667,0.0,1.1666666666666667,166.83333333333334
3174362223001916035,0.0,60,1.1666666666666667,0.0,1.1666666666666667,166.83333333333334
4392930856738603653,0.0,60,1.1666666666666667,0.0,1.1666666666666667,166.83333333333334
6091506400240409510,0.0,60,1.1666666666666667,0.0,1.1666666666666667,166.83333333333334
6630839090709105338,0.0,60,1.1666666666666667,0.0,1.1666666666666667,166.83333333333334
3638987518162252748,0.0,60,1.1666666666666667,0.0,1.1666666666666667,166.83333333333334
2515627945516218332,0.0,60.0,1.0,0.0,1.0,167.0
7988087393647335944,0.0,30.0,0.5,0.0,0.5,167.5
7776801514628453420,0.0,60,2.25,0.0,2.25,165.75
5339221772537987908,0.0,60,3.5,0.0,3.5,164.5
1426925701648885844,0.0,30.0,0.5,0.0,0.5,167.5
1934295012681375340,0.0,30.0,0.5,0.0,0.5,167.5
9209848539305894530,0.0,45.0,0.75,0.0,0.75,167.25
5060510610554371981,0.0,60,2.25,0.0,2.25,165.75
9005010624811713677,0.0,60,3.5,0.0,3.5,164.5
4243420246305474977,0.0,60,7.5,0.0,7.5,160.5
1058415345127439531,0.0,30.0,0.5,0.0,0.5,167.5
4664919917225425354,0.0,60,2.25,0.0,2.25,165.75
4493671975462354916,0.0,60,2.216666666666667,0.0,2.216666666666667,165.78333333333333
6288914411805113421,0.0,50.0,0.8333333333333334,0.0,0.8333333333333334,167.16666666666666
8909496802192683651,0.0,50.0,0.8333333333333334,0.0,0.8333333333333334,167.16666666666666
2297948296166828446,0.0,50.0,0.8333333333333334,0.0,0.8333333333333334,167.16666666666666
7325416583529585838,0.0,60,4.666666666666667,0.0,4.666666666666667,163.33333333333334
6770318841043018990,0.0,50.0,0.8333333333333334,0.0,0.8333333333333334,167.16666666666666
5081534068159938304,0.0,60,2.9,0.0,2.9,165.1
5366072592790137092,0.0,29.0,0.48333333333333334,0.0,0.48333333333333334,167.51666666666668
1136568205036649988,0.0,60,3.3833333333333333,0.0,3.3833333333333333,164.61666666666667
