Store ID,Uptime Last Hour (minutes),Uptime Last Day (hours),Uptime Last Week (hours),Downtime Last Hour (minutes),Downtime Last Day (hours),Downtime Last Week (hours)
1481966498820158979,10.0,1.1666666666666667,1.1666666666666667,60.0,22.833333333333332,166.83333333333334
579100056021594375,10.0,1.1666666666666667,1.1666666666666667,60.0,22.833333333333332,166.83333333333334
4573651495882519047,10.0,1.1666666666666667,1.1666666666666667,60.0,22.833333333333332,166.83333333333334
5125947543803222292,10.0,1.1666666666666667,1.1666666666666667,60.0,22.833333333333332,166.83333333333334
8737584666926498663,10.0,1.1666666666666667,1.1666666666666667,60.0,22.833333333333332,166.83333333333334
2629214850687686775,10.0,1.1666666666666667,1.1666666666666667,60.0,22.833333333333332,166.83333333333334
3174362223001916035,10.0,1.1666666666666667,1.1666666666666667,60.0,22.833333333333332,166.83333333333334
4392930856738603653,10.0,1.1666666666666667,1.1666666666666667,60.0,22.833333333333332,166.83333333333334
6091506400240409510,10.0,1.1666666666666667,1.1666666666666667,60.0,22.833333333333332,166.83333333333334
6630839090709105338,10.0,1.1666666666666667,1.1666666666666667,60.0,22.833333333333332,166.83333333333334
3638987518162252748,10.0,1.1666666666666667,1.1666666666666667,60.0,22.833333333333332,166.83333333333334
2515627945516218332,10.0,1.0,1.0,60.0,23.0,167.0
7988087393647335944,15.0,0.5,0.5,60.0,23.5,167.5
7776801514628453420,15.0,2.25,2.25,60.0,21.75,165.75
5339221772537987908,75.0,3.5,3.5,-15.0,20.5,164.5
1426925701648885844,15.0,0.5,0.5,60.0,23.5,167.5
1934295012681375340,15.0,0.5,0.5,60.0,23.5,167.5
9209848539305894530,15.0,0.75,0.75,60.0,23.25,167.25
5060510610554371981,15.0,2.25,2.25,60.0,21.75,165.75
9005010624811713677,75.0,3.5,3.5,-15.0,20.5,164.5
4243420246305474977,195.0,7.5,7.5,-135.0,16.5,160.5
1058415345127439531,15.0,0.5,0.5,60.0,23.5,167.5
4664919917225425354,15.0,2.25,2.25,60.0,21.75,165.75
4493671975462354916,19.0,2.216666666666667,2.216666666666667,60.0,21.78333333333333,165.78333333333333
6288914411805113421,25.0,0.8333333333333334,0.8333333333333334,60.0,23.166666666666668,167.16666666666666
8909496802192683651,25.0,0.8333333333333334,0.8333333333333334,60.0,23.166666666666668,167.16666666666666
2297948296166828446,25.0,0.8333333333333334,0.8333333333333334,60.0,23.166666666666668,167.16666666666666
7325416583529585838,25.0,4.666666666666667,4.666666666666667,60.0,19.333333333333332,163.33333333333334
6770318841043018990,25.0,0.8333333333333334,0.8333333333333334,60.0,23.166666666666668,167.16666666666666
5081534068159938304,29.0,2.9,2.9,60.0,21.1,165.1
5366072592790137092,29.0,0.48333333333333334,0.48333333333333334,60.0,23.516666666666666,167.51666666666668
1136568205036649988,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
6642226438879069200,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
7433398711719243797,29.0,0.9666666666666667,0.9666666666666667,60.0,23.033333333333335,167.03333333333333
2377210718332421400,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
7185648782998525210,29.0,0.9666666666666667,0.9666666666666667,60.0,23.033333333333335,167.03333333333333
8105787185477488922,90.0,5.416666666666667,5.416666666666667,-30.0,18.583333333333332,162.58333333333334
3907771017528016154,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
1842690252125283102,150.0,6.933333333333334,6.933333333333334,-90.0,17.066666666666666,161.06666666666666
8047519486931112223,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
3493963246020552747,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
1964920647161734444,29.0,27.483333333333334,27.483333333333334,60.0,-3.4833333333333343,140.51666666666665
6422142558680745524,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
493317329045884725,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
2028997236413341493,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
9126641881664734775,29.0,7.483333333333333,7.483333333333333,60.0,16.516666666666666,160.51666666666668
2318689877042246714,90.0,5.416666666666667,5.416666666666667,-30.0,18.583333333333332,162.58333333333334
7811790376454865729,29.0,27.483333333333334,27.483333333333334,60.0,-3.4833333333333343,140.51666666666665
4685930955531227474,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
1031837096861134419,29.0,27.483333333333334,27.483333333333334,60.0,-3.4833333333333343,140.51666666666665
7835778529962141524,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
5308654406249800276,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
6793711426025564515,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
4932034334218266470,29.0,0.9666666666666667,0.9666666666666667,60.0,23.033333333333335,167.03333333333333
504331488096931942,29.0,2.4166666666666665,2.4166666666666665,60.0,21.583333333333332,165.58333333333334
5732366815804134764,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
7010869599102115952,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
4364263945739383156,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
4379354991255025015,29.0,3.3833333333333333,3.3833333333333333,60.0,20.616666666666667,164.61666666666667
